UniversalMessageId,SenderUserId,SenderScreenName,SenderListedName,Sender Followers Count,SenderInfluencerScore,OriginalAuthor,OriginalAuthorProfileLink,Message,MessageType,CreatedTime,Language,MediaTypeList,Permalink,Retweets,Tweet Generator,Favorites,Spam,Sentiment,Location,Country,State,City,Latitude,Longitude,Vader,TextBlob,Number_Words,LH_positive,LH_negative,OF_positive,OF_negative,Eastern Time,Day,cleaned
TWITTER_7_1295099945750413314,8.18E+17,GregSavage20,SinnerSavedByGrace,116,45,,,"@MaryTrudeau9 @TX_WalkerRanger I agree but the DNC is  lawless and godless and will never trust Nancy and Chuck. They have already rigged the election. Mail in voting, No voter ID, 2020 Census, vote harvesting and God only knows what all they have done. YHWH will have to intervene again. Expect another miracle",Twitter Reply,47:43.5,English,,https://www.twitter.com/GregSavage20/status/1295099945750413314,,Twitter for iPhone,3,FALSE,NEUTRAL,,Unknown,,,,,-0.0008,0,52,2,1,0,0,47:43.5,8/16/2020,marytrudeau9 tx walkerrang agre dnc lawless godless never nanci chuck alreadi rig elect mail vote voter id 2020 vote harvest god know done yhwh interven expect anoth miracl
TWITTER_8_1254523300794888192,9.90E+17,UBoobook,💧🌱Unbiddable Boobook,181,56,,,"RT @jimmyraynes I can't trust them with the census.
I can't trust them with Centrelink debt.
I can't trust them Medicare data.
I can't trust them to respect a journalist's privacy.
I can't trust them to not bug unionists.
Why the hell would I trust this government with #covidsafe?",Twitter Retweet,30:37.5,English,,https://www.twitter.com/UBoobook/status/1254523300794888192,,,,FALSE,NEGATIVE,,Unknown,,,,,-0.9596,0,55,7,3,0,0,30:37.5,4/26/2020,rt jimmyrayn centrelink debt medicar data respect journalist privaci bug unionist hell would govern covidsaf
TWITTER_8_1220117064075153409,9.65E+17,sundanz63,The Real Patrick Henry (@🏡 most of the time),6735,83,PerfumeFlogger,https://twitter.com/🆘Lisa ‘Mockingjay’ Newens,"RT @PerfumeFlogger 🚨👇🏻🚨
‘A perfect storm': US census imperiled by ⁦@realDonaldTrump⁩ rhetoric and growing distrust

Immigrant communities fear they cannot trust the process while 24 states haven’t allocated money towards census, risking an undercount of millions theguardian.com/us-news/2020/j…",Twitter Retweet,52:31.4,English,LINK,https://twitter.com/show/status/1220117064075153409,,Twitter for iPhone,,FALSE,NEUTRAL,,United States,Florida,,28.75054,-82.5001,-0.681,1,43,2,3,1,0,52:31.4,1/22/2020,rt perfumeflogg 🚨👇🏻🚨 ‘a perfect storm us imperil ⁦ realdonaldtrump⁩ rhetor grow distrust immigr commun fear cannot process 24 state haven’t alloc money toward risk undercount million theguardian com us news 2020 j…
TWITTER_8_1228727192588357639,463102304,grandmatojosie1,grandmatojosie2,6012,76,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,06:06.0,English,VIDEO,https://twitter.com/show/status/1228727192588357639,,Twitter for iPhone,,FALSE,NEUTRAL,,Unknown,,,,,-0.3346,0,44,1,3,0,0,06:06.0,2/15/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1228777695305195520,17365683,katriord,Kathy Riordan,4523,84,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,26:46.8,English,VIDEO,https://twitter.com/show/status/1228777695305195520,,Twitter for iPhone,,FALSE,NEUTRAL,,United States,Florida,,28.75054,-82.5001,-0.3346,0,44,1,3,0,0,26:46.8,2/15/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1228125400498233346,44175995,fschreiner,Frances Schreiner,248,61,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,14:47.6,English,VIDEO,https://twitter.com/show/status/1228125400498233346,,Twitter for iPhone,,FALSE,NEUTRAL,"San Carlos, California, United States",United States,California,San Carlos,37.50716,-122.26052,-0.3346,0,44,1,3,0,0,14:47.6,2/13/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1231064576059330560,3687356294,beckyfs22,Slinky_Minky Human Rights ally,2324,74,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,54:01.7,English,VIDEO,https://twitter.com/show/status/1231064576059330560,,Twitter for iPhone,,FALSE,NEUTRAL,,United States,,,39.76,-98.5,-0.3346,0,44,1,3,0,0,54:01.7,2/21/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1254456980502011905,8.23E+17,BamjcastA,mary a martin,4728,82,,,"RT @jimmyraynes I can't trust them with the census.
I can't trust them with Centrelink debt.
I can't trust them Medicare data.
I can't trust them to respect a journalist's privacy.
I can't trust them to not bug unionists.
Why the hell would I trust this government with #covidsafe?",Twitter Retweet,07:05.5,English,,https://www.twitter.com/BamjcastA/status/1254456980502011905,,,,FALSE,NEGATIVE,,United States,Minnesota,,46.25024,-94.25055,-0.9596,0,55,7,3,0,0,07:05.5,4/26/2020,rt jimmyrayn centrelink debt medicar data respect journalist privaci bug unionist hell would govern covidsaf
TWITTER_8_1244380295052374022,2521364365,RixeyMegan,Megan Phifer-Rixey,912,63,katieporteroc,https://twitter.com/Katie Porter,"RT @katieporteroc The census is a public treasure, and it’s our collective information—hijacking nonpartisan public trust in the census for personal or political gain is unconscionable.
cbsnews.com/news/the-2020-…",Twitter Retweet,45:56.5,English,LINK,https://twitter.com/show/status/1244380295052374022,,Twitter for iPad,,FALSE,NEUTRAL,,United States,New Jersey,,40.29039,-74.01764,0.836,0,33,3,0,0,0,45:56.5,3/29/2020,rt katieporteroc public treasur it’ collect information—hijack nonpartisan public person polit gain unconscion cbsnew com news 2020 …
TWITTER_8_1228355652487143424,8.26E+17,WandaKothlow,Wanda Kothlow,173,63,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,29:44.0,English,VIDEO,https://twitter.com/show/status/1228355652487143424,,Twitter Web App,,FALSE,NEUTRAL,,Unknown,,,,,-0.3346,0,44,1,3,0,0,29:44.0,2/14/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
